'No','Grape','Winery','Appelation','Name','Year','Price','Score','Cases'
138,'Pinot Noir','Loring','Russian River Valley','Pinot Noir',2009,29,93,600
139,'Pinot Noir','Loring','Santa Lucia Highlands','Pinot Noir',2009,29,93,600
140,'Pinot Noir','Loring','Santa Lucia Highlands','Garys'' Vineyard',2009,45,93,450
141,'Pinot Noir','Loring','Sta. Rita Hills','Clos Pepe Vineyard',2009,45,93,1000
142,'Pinot Noir','A.P.Vin','Russian River Valley','Keefer Ranch Vineyard',2009,48,92,200
143,'Pinot Noir','Loring','Green Valley of Russian River Valley','Keefer Ranch Vineyard',2009,45,92,400
144,'Pinot Noir','Loring','Sta. Rita Hills','Cargasacchi Vineyard',2009,45,92,175
145,'Pinot Noir','Siduri','Santa Lucia Highlands','Pinot Noir',2009,29,92,1855
146,'Pinot Noir','A.P.Vin','Sta. Rita Hills','Clos Pepe Vineyard',2009,48,91,150
147,'Pinot Noir','A.P.Vin','Sta. Rita Hills','Turner Vineyard',2009,48,91,150
148,'Pinot Noir','Loring','Sta. Rita Hills','Rancho La Vina Vineyard',2009,45,91,125
149,'Pinot Noir','Athair','Russian River Valley','Pinot Noir',2008,36,90,919
150,'Pinot Noir','Clouds Rest','Sonoma Coast','Limited Release',2007,69,90,600
151,'Pinot Noir','Loring','San Luis Obispo County','Aubaine Vineyard',2009,45,90,500
152,'Pinot Noir','Loring','Sta. Rita Hills','Pinot Noir',2009,29,88,600
153,'Pinot Noir','Siduri','Sonoma County','Pinot Noir',2009,20,88,2657
154,'Pinot Noir','Castle Rock','Carneros','Pinot Noir',2008,14,84,'NULL'
155,'Syrah','Sine Qua Non','Sta. Rita Hills','A Shot in the Dark Eleven Confessions Vineyard',2006,200,98,442
156,'Syrah','Favia','Amador County','Quarzo',2008,65,95,154
157,'Syrah','Roar','Santa Lucia Highlands','Rosella''s Vineyard',2008,40,94,140
158,'Syrah','Carlisle','Bennett Valley','Cardiac Hill',2008,45,93,239
159,'Syrah','Herman Story','Santa Barbara County','Larner Vinyard',2008,36,93,135
160,'Syrah','Herman Story','Santa Barbara County','White Hawk Vineyard',2008,36,93,132
161,'Syrah','Zaca Mesa','Santa Ynez Valley','Mesa Reserve',2007,42,93,992
162,'Syrah','JC Cellars','California','Twist of Fate',2008,55,92,206
163,'Syrah','Ramey','Sonoma Coast','Syrah',2008,38,92,1750
164,'Syrah','Roar','Santa Lucia Highlands','Garys'' Vineyard',2008,40,92,110
165,'Syrah','Adobe Road','Dry Creek Valley','Kemp Vineyard',2007,40,91,235
166,'Syrah','Novy','Russian River Valley','Christensen Family Vineyard',2008,27,91,177
